"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"267",12,"Tube",8,5.546581518,1.474455297,8,"F",0.833333333333333
"268",12,"Tube",8,4.83095417,1.489481593,8,"M",0.833333333333333
"269",12,"Tube",8,4.370773854,1.645379414,8,"M",0.833333333333333
"270",12,"Tube",9,3.333333333,1.695906433,1,"M",0.833333333333333
"271",12,"Tube",9,3.14875731,1.763523392,2,"M",0.833333333333333
"272",12,"Tube",9,2.775950292,1.449195906,2,"M",0.833333333333333
"273",12,"Tube",9,2.543859649,1.631335892,2,"M",0.833333333333333
"274",12,"Tube",9,2.135721857,1.705652412,2,"M",0.833333333333333
"275",12,"Tube",9,2.009014985,1.502192982,2,"M",0.833333333333333
"276",12,"Tube",9,1.614278143,1.660575658,3,"M",0.833333333333333
"277",12,"Tube",9,1.775096857,1.689815424,3,"M",0.833333333333333
"278",12,"Tube",9,1.49122807,1.987085161,3,"M",0.833333333333333
"279",12,"Tube",9,1.695906433,2.411061769,3,"M",0.833333333333333
"280",12,"Tube",9,1.733675073,2.670564693,3,"M",0.833333333333333
"281",12,"Tube",9,3.076876827,3.15911367,5,"F",0.833333333333333
"282",12,"Tube",9,3.149976243,3.402777778,5,"F",0.833333333333333
"283",12,"Tube",9,4.449318348,3.435672515,5,"M",0.833333333333333
"284",12,"Tube",9,4.356725146,3.205409357,5,"M",0.833333333333333
"285",12,"Tube",9,5.404482822,3.333333333,6,"F",0.833333333333333
"286",12,"Tube",9,5.910696272,3.206017909,6,"M",0.833333333333333
"287",12,"Tube",9,6.013035453,3.098806652,6,"M",0.833333333333333
"288",12,"Tube",9,6.065423977,2.72721674,7,"M",0.833333333333333
"289",12,"Tube",9,5.958210892,2.057139985,7,"F",0.833333333333333
"290",12,"Tube",9,6.215277778,1.923123173,7,"M",0.833333333333333
"291",12,"Tube",9,6.077607822,1.627070541,7,"M",0.833333333333333
"292",12,"Tube",9,5.970394737,1.628289474,7,"M",0.833333333333333
"293",12,"Tube",9,5.810794956,1.508894371,7,"M",0.833333333333333
"294",12,"Tube",9,5.907041301,1.507675439,7,"M",0.833333333333333
"295",12,"Tube",9,5.280824196,1.650219298,8,"M",0.833333333333333
"296",12,"Tube",9,5.107821637,1.630725512,8,"M",0.833333333333333
"297",12,"Tube",9,5.081017909,1.736719664,8,"M",0.833333333333333
"298",12,"Tube",9,5.145590278,1.46747076,8,"M",0.833333333333333
"299",12,"Tube",9,4.574195906,1.617324561,8,"M",0.833333333333333
"300",12,"Tube",9,4.464546784,1.67093019,8,"M",0.833333333333333
"301",12,"Tube",10,3.653774637,0.974339903,1,"M",0.9
"302",12,"Tube",10,2.674475642,1.746621421,2,"M",0.9
"303",12,"Tube",10,2.756290443,1.5681164,2,"M",0.9
"304",12,"Tube",10,2.637287096,1.47886389,2,"M",0.9
"305",12,"Tube",10,2.386885459,1.671625139,2,"M",0.9
"306",12,"Tube",10,2.317465601,1.524111194,2,"M",0.9
"307",12,"Tube",10,1.962936036,1.520392339,2,"M",0.9
"308",12,"Tube",10,1.646833395,1.59600781,3,"M",0.9
"309",12,"Tube",10,1.504276683,1.956117516,3,"M",0.9
"310",12,"Tube",10,1.729267386,2.114168836,3,"M",0.9
"311",12,"Tube",10,1.413164745,2.984380811,4,"M",0.9
"312",12,"Tube",10,1.57493492,2.861658609,3,"M",0.9
"313",12,"Tube",10,1.736705095,2.876534028,3,"F",0.9
"314",12,"Tube",10,2.639146523,3.160407215,4,"M",0.9
"315",12,"Tube",10,2.820132019,3.237262923,4,"M",0.9
"316",12,"Tube",10,2.941613983,3.373620305,4,"F",0.9
"317",12,"Tube",10,3.068055039,3.326515433,5,"M",0.9
"318",12,"Tube",10,3.231684641,3.23912235,5,"M",0.9
"319",12,"Tube",10,3.393454816,3.213090368,5,"M",0.9
"320",12,"Tube",10,3.774637412,3.402751952,5,"M",0.9
"321",12,"Tube",10,4.303333953,3.206271848,5,"M",0.9
"322",12,"Tube",10,3.901697657,3.407089996,5,"M",0.9
"323",12,"Tube",10,4.660343994,3.362463741,6,"F",0.9
"324",12,"Tube",10,4.849386389,3.188917813,6,"M",0.9
"325",12,"Tube",10,6.105740052,2.458782075,7,"M",0.9
"326",12,"Tube",10,6.161522871,2.213337672,7,"M",0.9
"327",12,"Tube",10,6.05243585,2.13896058,7,"M",0.9
