"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",6,2.133841991,1.525974026,2,0.253604925158692,"High","Worker","N"
1,"Tube",6,2.18254329,1.684702381,2,0.251776073863682,"High","Worker","N"
1,"Tube",6,2.2420671,1.596320346,2,0.244702185541578,"High","Worker","N"
1,"Tube",6,2.270925325,1.617965368,2,0.242470658553153,"High","Worker","N"
1,"Tube",6,2.31150974,1.477272727,2,0.23681812196757,"High","Worker","N"
1,"Tube",6,2.431910173,1.753246753,2,0.23151343273263,"High","Worker","N"
1,"Tube",6,2.456260823,1.605790043,2,0.225518551280349,"High","Worker","N"
1,"Tube",6,2.853538961,3.302667749,4,0.471993662384063,"High","Worker","Y"
1,"Tube",6,2.920275974,1.525974026,2,0.182184928360407,"High","Worker","N"
1,"Tube",6,3.223306277,1.718977273,2,0.167418059059552,"High","Worker","N"
1,"Tube",6,3.26659632,1.447510823,2,0.149487473074068,"High","Worker","N"
1,"Tube",6,3.293652597,3.232321429,5,0.50919435725581,"High","Worker","N"
1,"Tube",6,4.534632035,3.243143939,5,0.622556997479529,"High","Worker","N"
1,"Tube",6,4.556277056,3.140330087,5,0.623676411883322,"High","Worker","N"
1,"Tube",6,5.656569264,1.782104978,8,0.93863290613601,"High","Worker","N"
1,"Tube",6,6.248198052,3.098847403,6,0.779424477451497,"High","Worker","Y"
1,"Tube",6,6.52237013,1.560243506,7,0.917674029938603,"High","Worker","Y"
1,"Tube",6,2.450849567,1.438041126,2,0.223696124836508,"High","Worker","N"
1,"Tube",6,1.987738095,1.753246753,3,0.270749212982179,"High","Worker","Y"
1,"Tube",6,1.868690476,2.732683983,3,0.358391713766984,"High","Worker","Y"
1,"Tube",6,6.461038961,2.891412338,6,0.798881145603576,"High","Worker","Y"
1,"Tube",6,6.323955628,1.482683983,7,0.92162065284989,"High","Worker","Y"
1,"Tube",6,1.985930736,1.524172078,3,0.267149140378031,"High","Worker","Y"
1,"Tube",6,2.846320346,3.039323593,4,0.465635349582907,"High","Worker","Y"
1,"Tube",6,6.30952381,3.243143939,6,0.785744384251416,"High","Worker","Y"
1,"Tube",6,1.899350649,3.127705628,4,0.394156034183008,"High","Worker","Y"
1,"Tube",6,3.964648268,3.21969697,5,0.570080759282718,"High","Worker","N"
1,"Tube",6,1.899350649,2.274529221,3,0.316257935877733,"High","Worker","Y"
1,"Tube",6,4.897186147,3.194442641,6,0.655427787481004,"High","Worker","Y"
1,"Tube",6,1.960681818,2.031022727,3,0.293104466711154,"High","Worker","Y"
1,"Tube",6,6.273452381,2.341271645,7,0.842405201403385,"High","Worker","Y"
1,"Tube",6,5.084778139,3.300865801,6,0.67360475343922,"High","Worker","Y"
1,"Tube",6,1.691920996,3.169193723,4,0.400362209549374,"High","Worker","Y"
1,"Tube",6,3.318906926,1.45021645,2,0.145061411819491,"High","Worker","N"
1,"Tube",6,6.00288961,3.048338745,6,0.756662051034883,"High","Worker","Y"
1,"Tube",6,6.125541126,3.216087662,6,0.768639702224424,"High","Worker","Y"
1,"Tube",6,6.589107143,2.658728355,7,0.831930292395678,"High","Worker","Y"
1,"Tube",6,5.928933983,1.829004329,8,0.913148896645429,"High","Worker","N"
1,"Tube",6,2.691201299,3.107862554,4,0.452423445022658,"High","Worker","Y"
1,"Tube",6,1.953463203,1.4033171,3,0.269385031607261,"High","Worker","Y"
1,"Tube",6,2.436872294,3.134918831,4,0.430545999774933,"High","Worker","Y"
1,"Tube",6,6.608950216,3.093436147,6,0.812683709709128,"High","Worker","Y"
1,"Tube",6,6.231964286,3.079004329,6,0.777869386510602,"High","Worker","Y"
1,"Tube",6,2.379150433,1.612554113,2,0.232598091212542,"High","Worker","N"
1,"Tube",6,3.19625,1.518760823,2,0.157984071709868,"High","Worker","N"
1,"Tube",6,6.343798701,2.931098485,6,0.788026917599335,"High","Worker","Y"
1,"Tube",6,3.106964286,1.574675325,2,0.167655837786221,"High","Worker","N"
1,"Tube",6,5.303030303,3.230519481,6,0.693028000497747,"High","Worker","Y"
