"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"502",4,9,"Tube",6,0.0301204819277108,"High","Y"
"503",4,9,"Tube",7,0,"High","Y"
"504",4,9,"Tube",8,0,"High","N"
"505",4,12,"Tube",1,0.109489051094891,"High","Y"
"506",4,12,"Tube",2,0.175182481751825,"High","N"
"507",4,12,"Tube",3,0.197080291970803,"High","Y"
"508",4,12,"Tube",4,0.321167883211679,"High","Y"
"509",4,12,"Tube",5,0.145985401459854,"High","N"
"510",4,12,"Tube",6,0.0510948905109489,"High","Y"
"511",4,12,"Tube",7,0,"High","Y"
"512",4,12,"Tube",8,0,"High","N"
"513",4,5,"Tube",1,0.233128834355828,"High","Y"
"514",4,5,"Tube",2,0.325153374233129,"High","N"
"515",4,5,"Tube",3,0.208588957055215,"High","Y"
"516",4,5,"Tube",4,0.171779141104294,"High","Y"
"517",4,5,"Tube",5,0.0429447852760736,"High","N"
"518",4,5,"Tube",6,0.0184049079754601,"High","Y"
"519",4,5,"Tube",7,0,"High","Y"
"520",4,5,"Tube",8,0,"High","N"
"521",4,4,"Tube",1,0.292857142857143,"High","Y"
